"SINTA_ID","Nama","id_univ","Universitas","id_dept","Departemen","Subject List","SINTA_Score_Overall","Scopus_Artikel","GScholar_Artikel"
"6704836","ZULHAN WIDYA BASKARA","399","Universitas Mataram","44201","S1 - Matematika","Statistics, Management Agroindustry","45","0","15"
"6093647","RENDRA ERDKHADIFA","3531","Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung","61206","S1 - Perbankan Syariah","Statistika","46","0","60"
"6100862","MIKHRATUNNISA","2390","Universitas Teknologi Sumbawa","41211","S1 - Teknologi Industri Pertanian","statistika","35","0","23"
"6734130","ASMADHINI HANDAYANI RAHMA","4632","Universitas Muhammadiyah Kalimantan Timur","61201","S1 - Manajemen","Econometrics, Statistics, Macro Economics","42","0","10"
"6004389","RINI CAHYANDARI","3511","Universitas Islam Negeri Sunan Gunung Djati Bandung","44201","S1 - Matematika","Statistika, Matematika Asuransi Syariah","288","8","33"
"6168806","ITASIA DINA SULVIANTI","428","Institut Pertanian Bogor","49201","S1 - Statistika dan Sains Data","statistics","102","3","27"
"6148163","RINI WARTI","4500","Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi","84202","S1 - Tadris Matematika","applied statistics, statistic, aplied mathematics","44","1","30"
"6732797","JOKO SUHARIANTO","500","Universitas Negeri Medan","60201","S1 - Ilmu Ekonomi","Ekonomi Pembangunan, Statistika, Pendidikan","49","0","33"
"6801361","LA ODE ABDUL RAHMAN","428","Institut Pertanian Bogor","U1","Unknown","Statistika","67","0","57"
"6006777","GINANJAR SYAMSUAR","1118","Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta","61201","S1 - Manajemen","Applied Economics, Econometrics, Statistics","40","0","18"
"6122339","TOTO HERMAWAN","1871","Universitas Cokroaminoto Yogyakarta","84202","S1 - Pendidikan Matematika","Pendidikan Matematika, Statistika, Analisis Regresi","39","0","17"
"6660170","YUANA SUKMAWATY","439","Universitas Lambung Mangkurat","49201","S1 - Statistika","Statistic","31","0","21"
"6754435","AFNARIA","578","Universitas Islam Sumatera Utara","84202","S1 - Pendidikan Matematika","operational research, statistics, mathematics education","34","1","15"
"6768939","NASRUDIN","4328","Politeknik Statistika STIS","49401","D3 - Statistika","Economics, Statistics","57","3","22"
"6047211","F ANTHON PANGRURUK","1105","Universitas Matana","49201","S1 - Statistika","Matematika, Aktuaria, Statistika","35","0","21"
"6117368","SITI NURHABIBAH HUTAGALUNG","8244538","Universitas Budi Darma","U1","Unknown","Matematika (Kalkulus, Statistik, Probabilitas dan Fisika)","72","1","30"
"6655150","SEPTI WULANDARI","147","Akademi Pariwisata Mandala Bhakti","93402","D3 - Perhotelan","mathematics, statistics, education, tourism","30","0","7"
"6715948","TUNJUNG GENARSIH","3543","Institut Agama Islam Negeri Ponorogo","U1","Unknown","Mathematic Education, Statistic","27","1","9"
"5976008","SAGITA CHAROLINA SIHOMBING","8244249","Institut Bisnis dan Teknologi Pelita Indonesia","61201","S1 - Manajemen","Matematika Bisnis, Statistik, Manajemen","128","1","19"
"6719324","SA'IDAH ZAHROTUL JANNAH","380","Universitas Airlangga","49201","S1 - Statistika","Data Mining, Statistics, Natural Language Processing, Multivariate Analysis","40","0","6"
"6014412","ELY KURNIAWATI","486","Universitas Batam","62201","S1 - Akuntansi","Statistics","61","0","15"
"6681173","TITIS MIRANTI","3513","Universitas Islam Negeri Maulana Malik Ibrahim Malang","61206","S1 - Perbankan Syariah","statistics, finance","32","0","15"
"6149372","DESY KOMALASARI","399","Universitas Mataram","44201","S1 - Matematika","Statistika","156","2","0"
"6686312","DIAN ANGGRAINI","537","Institut Teknologi Sumatera","94203","S1 - Sains Aktuaria","Aktuaria, Statistika","38","0","14"
"6819947","RUSDI HAMDANY NUARY","1130","STKIP Kusumanegara","84202","S1 - Pendidikan Matematika","Statistik","22","0","2"
"6681591","NUSYIRWAN","398","Universitas Lampung","44201","S1 - Matematika","Statistika","87","3","33"
"6749032","REZA TIANTO","2133","Universitas Hayam Wuruk Perbanas","62401","D3 - Akuntansi","Statistics, Investment, Management, Economics, Supply Chain Managementt","35","0","9"
"6667352","JAKA PERMANA","600","Universitas Prima Indonesia","61201","S1 - Manajemen","Mathematics, economics, statistics","25","0","8"
"6019152","UJIAN SINULINGGA","441","Universitas Sumatera Utara","U1","Unknown","Statistik","126","4","27"
"6587324","LILIS","714","Politeknik Adiguna Maritim Indonesia Medan","92401","D3 - Ketatalaksanaan Pelayaran Niaga dan Pelabuhan","Matematika Terapan, Statistika","30","0","10"
"5982234","MIRA MEILISA","2890","Universitas Muhammadiyah Sumatera Barat","20201","S1 - Teknik Elektro","Statistics, applied statistics, education","32","0","14"
"6005250","ENDAH ASMAWATI","403","Universitas Surabaya","55201","S1 - Teknik Informatika","Mathematics, Statistics","168","4","41"
"6020678","SYAMSUL HADI","382","Universitas Islam Indonesia","U1","Unknown","Auditing, Metode Riset, Statistik","173","0","35"
"6198956","NOVRI SUHERMI","417","Institut Teknologi Sepuluh Nopember","49201","S1 - Statistika","Time Series Forecasting, Functional Data Analysis, Machine Learning, Statistics, Data Science","248","6","17"
"6702731","GARINI WIDOSARI","561","Politeknik Negeri Samarinda","22303","D4 - Teknologi Rekayasa Konstruksi Bangunan Gedung","Mathematic, Education, Statistic","36","0","8"
"6171425","SRI WAHYUNINGSIH","411","Universitas Mulawarman","49201","S1 - Statistika","Statistics, time series, environmental statistics, forecasting","112","0","58"
"6680986","SITA DEWI","1149","Sekolah Tinggi Ilmu Ekonomi Jayakarta","62401","D3 - Akuntansi","Statistik","46","0","27"
"6168455","RODIANA LISTIAWATI","539","Politeknik Negeri Jakarta","61406","D3 - Keuangan Dan Perbankan","statistic","58","0","18"
"6664439","DARIANI MATUALAGE","506","Universitas Papua","44201","S1 - Matematika","statistics, conservation, marine protected area","34","0","0"
"6816043","BELLA ARISHA","4500","Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi","62202","S1 - Akuntansi Syariah","Matematika, Matematika Ekonomi, Statistika, Optimization","63","3","5"
"6031823","PIKA SILVIANTI","428","Institut Pertanian Bogor","49201","S1 - Statistika dan Sains Data","Statistics","50","1","22"
"6032459","ANNY THURAIDAH","4433","Poltekkes Kemenkes Banjarmasin","43353","D4 - Teknologi Laboratorium Medis","Farmakologi, Toxikologi Klinik, Kimia, Metodologi Penelitian, Statistik","55","3","19"
