"id_dept","id_univ","Departemen"
"84202","518","S1 - Pendidikan Matematika"
"63311","567","D4 - Administrasi Bisnis Internasional"
"49501","417","D4 - Statistika Bisnis"
"44201","406","S1 - Matematika"
"44201","1107","S1 - Matematika"
"49201","404","S1 - Statistika"
"13462","2524","D3 - Rekam Medik"
"94409","430","D3 - Administrasi Asuransi & Aktuaria"
"49201","392","S1 - Statistika"
"83207","2394","S1 - Pendidikan Informatika"
"61201","1555","S1 - Manajemen"
"94203","536","S1 - Ilmu Aktuaria"
"84202","2563","S1 - Pendidikan Matematika"
"44201","1394","S1 - Matematika"
"73201","586","S1 - Psikologi"
"14201","1647","S1 - Ilmu Keperawatan"
