"id_dept","id_instansi","nama_departemen"
"61704","4451","S2 Terapan - Pemasaran, Inovasi, dan Teknologi"
"u6744762","4492","Unknown"
"u6020434","2077","Unknown"
"u6733216","4496","Unknown"
"u6162128","398","Unknown"
"u6030512","441","Unknown"
"93308","546","D4 - Manajemen Bisnis Internasional"
"u6443592","392","Unknown"
"u6684374","3524","Unknown"
"u6195938","2097","Unknown"
"86231","3781","S1 - Manajemen Pendidikan Islam"
"u6831323","3531","Unknown"
"u6685930","4496","Unknown"
"u6714165","3552","Unknown"
"u6816853","4328","Unknown"
"u6587060","184","Unknown"
"13201","187","S1 - Kesehatan Masyarakat"
"29202","537","S1 - Teknik Geomatika"
"u6004808","1058","Unknown"
"13331","8360","D4 - Promosi Kesehatan"
"21401","4467","D3 - Teknik Mekanika"
"u6674210","3549","Unknown"
"94202","8244003","S1 - Kewirausahaan"
"u6803922","1418","Unknown"
"u6803111","2095","Unknown"
"u6787910","3543","Unknown"
"u5988317","1135","Unknown"
"u6754954","4328","Unknown"
"u6824756","556","Unknown"
"u6664711","1662","Unknown"
"u6748808","8364","Unknown"
"u6805955","3541","Unknown"
"u6750952","3525","Unknown"
"u6793542","2051","Unknown"
"u6819505","2185","Unknown"
"u6025716","542","Unknown"
"u6020721","442","Unknown"
"u5991205","476","Unknown"
"u6133250","2899","Unknown"
"u6162506","3899","Unknown"
"u6770984","3560","Unknown"
"u6815504","4823","Unknown"
"u6760437","571","Unknown"
"74201","2950","S1 - Ilmu Hukum"
"u6707623","2419","Unknown"
"u6720376","444","Unknown"
"u6722544","4498","Unknown"
"u6728089","4823","Unknown"
"54108","411","S2 - Pertanian Tropika Basah"
"u6795021","499","Unknown"
"u6800056","413","Unknown"
"70230","400","S1 - Manajemen Dakwah"
"u6828071","4165","Unknown"
"u6026198","497","Unknown"
"u6190577","3453","Unknown"
"85271","3037","S1 - Pendidikan Jasmani, Kesehatan, dan Rekreasi"
"u6791043","489","Unknown"
"u6794789","3558","Unknown"
"u6811050","4500","Unknown"
"u6809819","8244510","Unknown"
"u6646599","2564","Unknown"
"u6655467","1099","Unknown"
"13351","4422","D4 - Sanitasi Lingkungan"
"u6716072","1870","Unknown"
"63412","1715","D3 - Kesekretariatan"
"u6821745","539","Unknown"
"u6004858","3556","Unknown"
"u6072033","385","Unknown"
"u6170333","444","Unknown"
"u6644149","384","Unknown"
"20401","1843","D3 - Teknik Elektronika"
"86215","36","S1 - Pendidikan Keagamaan Buddha"
"u6753569","3544","Unknown"
"u6780300","8244474","Unknown"
"70231","3511","S1 - Pengembangan Masyarakat Islam"
"u6816854","4328","Unknown"
"u6819700","8079","Unknown"
"86274","3623","S1 - Manajemen Pendidikan Islam"
"u6810707","1412","Unknown"
"70233","3586","S1 - Komunikasi Penyiaran Islam"
"u5994949","1224","Unknown"
"u5987514","1058","Unknown"
"u6016590","526","Unknown"
"64201","1062","S1 - Ilmu Hubungan Internasional"
"u6038611","2145","Unknown"
"39301","299","D4 - Rekayasa Sistem Transportasi Jalan"
"90241","20","S1 - Desain Komunikasi Visual (Kampus Kota Kediri)"
"u6652807","3956","Unknown"
"47401","4470","D3 - Teknik Kimia Mineral"
"56401","2985","D3 - Teknik Komputer"
"u6802282","1491","Unknown"
"u6820982","500","Unknown"
"u6825767","546","Unknown"
"u6825771","546","Unknown"
"u6827721","1853","Unknown"
"u6199158","3511","Unknown"
"93204","4402","S1 - Akomodasi dan Katering"
"63411","1133","D3 - Administrasi Bisnis"
"70401","1133","D3 - Hubungan Masyarakat"
"u6693070","392","Unknown"
"26304","4460","D4 - Administrasi Bisnis Otomotif"
"u6717151","1395","Unknown"
"u6720582","2535","Unknown"
"u6792267","2478","Unknown"
"u6752683","3522","Unknown"
"u6817469","517","Unknown"
